# SO, sensi : 2, fsky : 0.4 
# Freqs : 93,145,225,280 
# ##
2.000000000000000000e+00 1.126142711738525104e+05 7.507616098483173409e+05 8.508630830405335873e+06 1.551573830326438695e+07 1.986046905648037458e-02 2.303343732927778248e-02 1.305750300724305146e-01 8.160939237561741777e-01 2.337622846425215772e-08
3.000000000000000000e+00 5.448841963243908685e+04 3.632559392847564304e+05 4.116899921489720233e+06 7.507287831097945571e+06 2.252075447571035699e-02 2.611873106165168990e-02 1.480653428021097839e-01 9.254083603169532823e-01 2.058136319954511760e-08
4.000000000000000000e+00 3.317933215045823454e+04 2.211953532021786668e+05 2.506879935099190567e+06 4.571369028606661595e+06 2.509700462628366643e-02 2.910655966411769893e-02 1.650031243564530070e-01 1.031269467429019260e+00 1.964231353373155896e-08
5.000000000000000000e+00 2.279156642449717037e+04 1.519435757642405806e+05 1.722026435126070399e+06 3.140165579558301251e+06 2.755209693889517503e-02 3.195386911441005368e-02 1.811443031272391146e-01 1.132151796072436545e+00 1.920451627259963418e-08
6.000000000000000000e+00 1.685653218618561732e+04 1.123766737140932382e+05 1.273601518373972503e+06 2.322449545373683330e+06 2.989194358648410502e-02 3.466751555562420928e-02 1.965277450462726283e-01 1.228298256969532209e+00 1.896331891249232303e-08
7.000000000000000000e+00 1.310369139448619353e+04 8.735772749947255943e+04 9.900534326422245940e+05 1.805391261258571874e+06 3.212929919094256043e-02 3.726229078982611770e-02 2.112373028454599677e-01 1.320232928431398944e+00 1.881594617597083393e-08
8.000000000000000000e+00 1.055763941759163936e+04 7.038403989553345309e+04 7.976849439268357819e+05 1.454601653878018958e+06 3.427668012736871661e-02 3.975271033894819950e-02 2.253552630990348082e-01 1.408470100353240717e+00 1.871929145889400625e-08
9.000000000000000000e+00 8.738634753580052347e+03 5.825733437725188560e+04 6.602489188610363053e+05 1.203983009656149661e+06 3.634496544169782406e-02 4.215139083489425481e-02 2.389531477443907204e-01 1.493456783706742286e+00 1.865255340071709768e-08
1.000000000000000000e+01 7.386576309250386657e+03 4.924360373414221249e+04 5.580932760188514367e+05 1.017699180216001929e+06 3.834332265280259583e-02 4.446896396354015762e-02 2.520912262287266503e-01 1.575569661447260961e+00 1.860464862124440753e-08
1.100000000000000000e+01 6.349663984056503068e+03 4.233084733491987572e+04 4.797486750598135986e+05 8.748354861664004857e+05 4.027943515215300779e-02 4.671434019149310612e-02 2.648200105529889825e-01 1.655124432531398071e+00 1.856921922869394529e-08
1.200000000000000000e+01 5.534039044340952387e+03 3.689334030722581520e+04 4.181235675011340645e+05 7.624602802995091770e+05 4.215976489186090692e-02 4.889501341969228893e-02 2.771819823286481022e-01 1.732386606016343533e+00 1.854239689658536269e-08
1.300000000000000000e+01 4.878906242179884430e+03 3.252578100579197417e+04 3.686245347249948536e+05 6.721973286754965084e+05 4.398978326114362514e-02 5.101732874358094055e-02 2.892131106889519465e-01 1.807580988000817346e+00 1.852171854339570807e-08
1.400000000000000000e+01 4.343350600907359876e+03 2.895540292084727480e+04 3.281602229590394418e+05 5.984094567701221677e+05 4.577415905852955103e-02 5.308670045484346900e-02 3.009440881235471710e-01 1.880899405587874940e+00 1.850555266394122354e-08
1.500000000000000000e+01 3.898939691462320752e+03 2.599265652316097476e+04 2.945824041971736006e+05 5.371793076281571994e+05 4.751690770962490457e-02 5.510778509743088915e-02 3.124013115193134960e-01 1.952506838387158439e+00 1.849278413397787755e-08
1.600000000000000000e+01 3.525369775499318621e+03 2.350218355301215342e+04 2.663570181471332326e+05 4.857094771816708962e+05 4.922150897400686537e-02 5.708461797863435133e-02 3.236076560306554439e-01 2.022546255201740806e+00 1.848262871525212182e-08
1.700000000000000000e+01 3.207797967387858080e+03 2.138503143443569570e+04 2.423626022620686272e+05 4.419549454853446223e+05 5.089099996484658384e-02 5.902072104892898408e-02 3.345830866415379079e-01 2.091142436288738971e+00 1.847452220326060524e-08
1.800000000000000000e+01 2.935150017696269060e+03 1.956737183232611278e+04 2.217624353897793917e+05 4.043899269011150463e+05 5.252804906589430417e-02 6.091918862740703516e-02 3.453451441358659224e-01 2.158405010672374225e+00 1.846805040073952579e-08
1.900000000000000000e+01 2.699014277823606335e+03 1.799312708364218997e+04 2.039209706609290442e+05 3.718554830124198925e+05 5.413501509131358330e-02 6.278275601251231963e-02 3.559093340459595911e-01 2.224430887070378393e+00 1.846290284992044599e-08
2.000000000000000000e+01 2.492899570288313953e+03 1.661902266619126021e+04 1.883477634693299187e+05 3.434572736473346013e+05 5.571399500555729994e-02 6.461385482521603274e-02 3.662894403882713812e-01 2.289306214740854273e+00 1.845884384146250420e-08
2.100000000000000000e+01 2.311725557884562022e+03 1.541118965978377128e+04 1.746589660321196425e+05 3.184953410766930319e+05 5.726686272163412916e-02 6.641465800530754748e-02 3.764977807434269907e-01 2.353107977731324851e+00 1.845569141421384898e-08
2.200000000000000000e+01 2.151465482241414520e+03 1.434278300335681888e+04 1.625503343040633190e+05 2.964148873284895672e+05 5.879530089178763158e-02 6.818711668060140063e-02 3.865454152644727803e-01 2.415905301179221087e+00 1.845330331109655076e-08
2.300000000000000000e+01 2.008891048994833909e+03 1.339228072948554836e+04 1.517779526354676636e+05 2.767711250347060850e+05 6.030082715185373227e-02 6.993299060377404508e-02 3.964423192205350222e-01 2.477760529708796344e+00 1.845156712973474886e-08
