#    L    TT             EE             TE             PP             TP          
    75    0.19590E+04    0.39589E+00   -0.79237E+01    0.57485E+07    0.86277E+04
    76    0.19839E+04    0.41007E+00   -0.84273E+01    0.57177E+07    0.84932E+04
    77    0.20092E+04    0.42442E+00   -0.89417E+01    0.56867E+07    0.83621E+04
    78    0.20349E+04    0.43898E+00   -0.94684E+01    0.56557E+07    0.82338E+04
    79    0.20607E+04    0.45368E+00   -0.10003E+02    0.56246E+07    0.81078E+04
    80    0.20868E+04    0.46854E+00   -0.10548E+02    0.55934E+07    0.79837E+04
    81    0.21131E+04    0.48349E+00   -0.11104E+02    0.55622E+07    0.78608E+04
    82    0.21396E+04    0.49857E+00   -0.11668E+02    0.55310E+07    0.77391E+04
    83    0.21664E+04    0.51374E+00   -0.12242E+02    0.54998E+07    0.76186E+04
    84    0.21934E+04    0.52899E+00   -0.12822E+02    0.54686E+07    0.74991E+04
    85    0.22205E+04    0.54432E+00   -0.13411E+02    0.54375E+07    0.73806E+04
    86    0.22478E+04    0.55971E+00   -0.14008E+02    0.54064E+07    0.72630E+04
    87    0.22756E+04    0.57515E+00   -0.14610E+02    0.53753E+07    0.71468E+04
    88    0.23033E+04    0.59065E+00   -0.15219E+02    0.53443E+07    0.70322E+04
    89    0.23314E+04    0.60619E+00   -0.15837E+02    0.53134E+07    0.69198E+04
    90    0.23597E+04    0.62174E+00   -0.16458E+02    0.52826E+07    0.68099E+04
    91    0.23882E+04    0.63729E+00   -0.17086E+02    0.52519E+07    0.67028E+04
    92    0.24169E+04    0.65283E+00   -0.17719E+02    0.52213E+07    0.65985E+04
    93    0.24460E+04    0.66834E+00   -0.18356E+02    0.51907E+07    0.64968E+04
    94    0.24751E+04    0.68380E+00   -0.18998E+02    0.51603E+07    0.63978E+04
    95    0.25045E+04    0.69919E+00   -0.19643E+02    0.51300E+07    0.63013E+04
    96    0.25339E+04    0.71451E+00   -0.20292E+02    0.50998E+07    0.62072E+04
    97    0.25637E+04    0.72975E+00   -0.20944E+02    0.50697E+07    0.61153E+04
    98    0.25938E+04    0.74488E+00   -0.21597E+02    0.50397E+07    0.60257E+04
    99    0.26239E+04    0.75988E+00   -0.22253E+02    0.50098E+07    0.59381E+04
   100    0.26544E+04    0.77475E+00   -0.22909E+02    0.49801E+07    0.58526E+04
   101    0.26849E+04    0.78954E+00   -0.23567E+02    0.49505E+07    0.57689E+04
   102    0.27161E+04    0.80410E+00   -0.24225E+02    0.49211E+07    0.56870E+04
   103    0.27471E+04    0.81852E+00   -0.24884E+02    0.48917E+07    0.56068E+04
   104    0.27784E+04    0.83279E+00   -0.25541E+02    0.48626E+07    0.55282E+04
   105    0.28098E+04    0.84683E+00   -0.26198E+02    0.48335E+07    0.54510E+04
   106    0.28415E+04    0.86072E+00   -0.26853E+02    0.48047E+07    0.53753E+04
   107    0.28730E+04    0.87432E+00   -0.27506E+02    0.47760E+07    0.53008E+04
   108    0.29050E+04    0.88769E+00   -0.28156E+02    0.47474E+07    0.52275E+04
   109    0.29371E+04    0.90076E+00   -0.28804E+02    0.47190E+07    0.51552E+04
   110    0.29694E+04    0.91353E+00   -0.29446E+02    0.46908E+07    0.50840E+04
   111    0.30017E+04    0.92607E+00   -0.30085E+02    0.46627E+07    0.50136E+04
   112    0.30342E+04    0.93832E+00   -0.30720E+02    0.46348E+07    0.49441E+04
   113    0.30670E+04    0.95026E+00   -0.31350E+02    0.46071E+07    0.48755E+04
   114    0.30999E+04    0.96183E+00   -0.31973E+02    0.45796E+07    0.48078E+04
   115    0.31329E+04    0.97318E+00   -0.32590E+02    0.45522E+07    0.47410E+04
   116    0.31660E+04    0.98407E+00   -0.33199E+02    0.45250E+07    0.46752E+04
   117    0.31994E+04    0.99459E+00   -0.33801E+02    0.44980E+07    0.46102E+04
   118    0.32329E+04    0.10049E+01   -0.34395E+02    0.44712E+07    0.45462E+04
   119    0.32665E+04    0.10148E+01   -0.34979E+02    0.44445E+07    0.44831E+04
   120    0.33002E+04    0.10242E+01   -0.35554E+02    0.44181E+07    0.44210E+04
   121    0.33339E+04    0.10333E+01   -0.36120E+02    0.43917E+07    0.43599E+04
   122    0.33676E+04    0.10420E+01   -0.36674E+02    0.43656E+07    0.42997E+04
   123    0.34015E+04    0.10502E+01   -0.37219E+02    0.43397E+07    0.42405E+04
   124    0.34354E+04    0.10580E+01   -0.37750E+02    0.43139E+07    0.41822E+04
   125    0.34693E+04    0.10653E+01   -0.38269E+02    0.42883E+07    0.41250E+04
   126    0.35033E+04    0.10723E+01   -0.38777E+02    0.42629E+07    0.40688E+04
   127    0.35373E+04    0.10787E+01   -0.39271E+02    0.42377E+07    0.40136E+04
   128    0.35712E+04    0.10848E+01   -0.39752E+02    0.42126E+07    0.39594E+04
   129    0.36053E+04    0.10903E+01   -0.40219E+02    0.41878E+07    0.39062E+04
   130    0.36393E+04    0.10953E+01   -0.40670E+02    0.41631E+07    0.38541E+04
