#    L    TT             EE             TE             PP             TP          
    75    0.20004E+04    0.39941E+00   -0.82109E+01    0.55736E+07    0.87628E+04
    76    0.20263E+04    0.41371E+00   -0.87250E+01    0.55426E+07    0.86243E+04
    77    0.20524E+04    0.42818E+00   -0.92502E+01    0.55116E+07    0.84878E+04
    78    0.20790E+04    0.44286E+00   -0.97877E+01    0.54804E+07    0.83530E+04
    79    0.21057E+04    0.45769E+00   -0.10334E+02    0.54493E+07    0.82194E+04
    80    0.21327E+04    0.47266E+00   -0.10890E+02    0.54180E+07    0.80863E+04
    81    0.21599E+04    0.48774E+00   -0.11456E+02    0.53868E+07    0.79537E+04
    82    0.21874E+04    0.50294E+00   -0.12031E+02    0.53556E+07    0.78220E+04
    83    0.22151E+04    0.51823E+00   -0.12616E+02    0.53244E+07    0.76919E+04
    84    0.22430E+04    0.53362E+00   -0.13207E+02    0.52932E+07    0.75640E+04
    85    0.22711E+04    0.54907E+00   -0.13807E+02    0.52620E+07    0.74391E+04
    86    0.22994E+04    0.56460E+00   -0.14414E+02    0.52310E+07    0.73178E+04
    87    0.23281E+04    0.58017E+00   -0.15028E+02    0.52000E+07    0.71998E+04
    88    0.23568E+04    0.59581E+00   -0.15648E+02    0.51690E+07    0.70851E+04
    89    0.23858E+04    0.61149E+00   -0.16275E+02    0.51382E+07    0.69733E+04
    90    0.24151E+04    0.62718E+00   -0.16908E+02    0.51074E+07    0.68641E+04
    91    0.24445E+04    0.64287E+00   -0.17547E+02    0.50768E+07    0.67574E+04
    92    0.24743E+04    0.65854E+00   -0.18191E+02    0.50463E+07    0.66531E+04
    93    0.25043E+04    0.67419E+00   -0.18840E+02    0.50158E+07    0.65511E+04
    94    0.25344E+04    0.68978E+00   -0.19492E+02    0.49855E+07    0.64513E+04
    95    0.25647E+04    0.70531E+00   -0.20149E+02    0.49553E+07    0.63537E+04
    96    0.25951E+04    0.72076E+00   -0.20810E+02    0.49252E+07    0.62582E+04
    97    0.26260E+04    0.73612E+00   -0.21474E+02    0.48953E+07    0.61647E+04
    98    0.26570E+04    0.75138E+00   -0.22138E+02    0.48655E+07    0.60731E+04
    99    0.26881E+04    0.76651E+00   -0.22806E+02    0.48358E+07    0.59835E+04
   100    0.27196E+04    0.78150E+00   -0.23474E+02    0.48062E+07    0.58956E+04
   101    0.27512E+04    0.79641E+00   -0.24143E+02    0.47768E+07    0.58096E+04
   102    0.27833E+04    0.81110E+00   -0.24813E+02    0.47475E+07    0.57252E+04
   103    0.28153E+04    0.82564E+00   -0.25484E+02    0.47184E+07    0.56424E+04
   104    0.28476E+04    0.84002E+00   -0.26152E+02    0.46894E+07    0.55612E+04
   105    0.28800E+04    0.85418E+00   -0.26820E+02    0.46606E+07    0.54814E+04
   106    0.29126E+04    0.86819E+00   -0.27487E+02    0.46320E+07    0.54031E+04
   107    0.29452E+04    0.88190E+00   -0.28151E+02    0.46035E+07    0.53261E+04
   108    0.29782E+04    0.89538E+00   -0.28812E+02    0.45751E+07    0.52505E+04
   109    0.30113E+04    0.90856E+00   -0.29471E+02    0.45470E+07    0.51760E+04
   110    0.30445E+04    0.92144E+00   -0.30124E+02    0.45190E+07    0.51026E+04
   111    0.30779E+04    0.93409E+00   -0.30774E+02    0.44912E+07    0.50304E+04
   112    0.31114E+04    0.94644E+00   -0.31420E+02    0.44636E+07    0.49592E+04
   113    0.31452E+04    0.95849E+00   -0.32060E+02    0.44361E+07    0.48891E+04
   114    0.31790E+04    0.97016E+00   -0.32693E+02    0.44089E+07    0.48200E+04
   115    0.32131E+04    0.98160E+00   -0.33320E+02    0.43818E+07    0.47521E+04
