#    L    TT             EE             TE             PP             TP          
    75    0.19645E+04    0.39610E+00   -0.79817E+01    0.56278E+07    0.87403E+04
    76    0.19896E+04    0.41025E+00   -0.84858E+01    0.55972E+07    0.86029E+04
    77    0.20149E+04    0.42457E+00   -0.90006E+01    0.55665E+07    0.84694E+04
    78    0.20407E+04    0.43909E+00   -0.95275E+01    0.55357E+07    0.83392E+04
    79    0.20666E+04    0.45375E+00   -0.10063E+02    0.55048E+07    0.82116E+04
    80    0.20928E+04    0.46857E+00   -0.10608E+02    0.54739E+07    0.80860E+04
    81    0.21191E+04    0.48348E+00   -0.11163E+02    0.54429E+07    0.79618E+04
    82    0.21458E+04    0.49851E+00   -0.11728E+02    0.54120E+07    0.78389E+04
    83    0.21726E+04    0.51363E+00   -0.12301E+02    0.53810E+07    0.77171E+04
    84    0.21996E+04    0.52884E+00   -0.12882E+02    0.53501E+07    0.75963E+04
    85    0.22268E+04    0.54410E+00   -0.13471E+02    0.53193E+07    0.74765E+04
    86    0.22542E+04    0.55944E+00   -0.14067E+02    0.52885E+07    0.73577E+04
    87    0.22820E+04    0.57481E+00   -0.14670E+02    0.52577E+07    0.72401E+04
    88    0.23098E+04    0.59024E+00   -0.15278E+02    0.52270E+07    0.71241E+04
    89    0.23380E+04    0.60570E+00   -0.15895E+02    0.51964E+07    0.70103E+04
    90    0.23664E+04    0.62118E+00   -0.16516E+02    0.51659E+07    0.68989E+04
    91    0.23949E+04    0.63664E+00   -0.17143E+02    0.51355E+07    0.67904E+04
    92    0.24237E+04    0.65209E+00   -0.17774E+02    0.51052E+07    0.66846E+04
    93    0.24528E+04    0.66751E+00   -0.18411E+02    0.50750E+07    0.65815E+04
    94    0.24820E+04    0.68287E+00   -0.19051E+02    0.50449E+07    0.64810E+04
    95    0.25115E+04    0.69817E+00   -0.19694E+02    0.50149E+07    0.63830E+04
    96    0.25409E+04    0.71338E+00   -0.20342E+02    0.49851E+07    0.62874E+04
    97    0.25708E+04    0.72850E+00   -0.20992E+02    0.49553E+07    0.61941E+04
    98    0.26009E+04    0.74352E+00   -0.21642E+02    0.49257E+07    0.61030E+04
    99    0.26311E+04    0.75840E+00   -0.22296E+02    0.48962E+07    0.60140E+04
   100    0.26616E+04    0.77315E+00   -0.22949E+02    0.48668E+07    0.59270E+04
   101    0.26923E+04    0.78781E+00   -0.23605E+02    0.48376E+07    0.58418E+04
   102    0.27234E+04    0.80224E+00   -0.24260E+02    0.48085E+07    0.57585E+04
   103    0.27545E+04    0.81652E+00   -0.24916E+02    0.47795E+07    0.56768E+04
   104    0.27859E+04    0.83065E+00   -0.25569E+02    0.47507E+07    0.55968E+04
   105    0.28173E+04    0.84455E+00   -0.26222E+02    0.47221E+07    0.55182E+04
   106    0.28490E+04    0.85829E+00   -0.26874E+02    0.46935E+07    0.54410E+04
   107    0.28807E+04    0.87173E+00   -0.27522E+02    0.46652E+07    0.53651E+04
   108    0.29127E+04    0.88494E+00   -0.28169E+02    0.46370E+07    0.52905E+04
   109    0.29449E+04    0.89784E+00   -0.28811E+02    0.46090E+07    0.52169E+04
   110    0.29771E+04    0.91044E+00   -0.29449E+02    0.45811E+07    0.51443E+04
   111    0.30095E+04    0.92282E+00   -0.30084E+02    0.45535E+07    0.50726E+04
   112    0.30421E+04    0.93488E+00   -0.30714E+02    0.45260E+07    0.50018E+04
   113    0.30749E+04    0.94665E+00   -0.31338E+02    0.44986E+07    0.49319E+04
   114    0.31078E+04    0.95803E+00   -0.31955E+02    0.44715E+07    0.48630E+04
   115    0.31409E+04    0.96918E+00   -0.32566E+02    0.44445E+07    0.47950E+04
   116    0.31740E+04    0.97988E+00   -0.33170E+02    0.44177E+07    0.47279E+04
   117    0.32075E+04    0.99020E+00   -0.33765E+02    0.43911E+07    0.46618E+04
   118    0.32410E+04    0.10003E+01   -0.34353E+02    0.43646E+07    0.45966E+04
   119    0.32746E+04    0.10100E+01   -0.34931E+02    0.43384E+07    0.45325E+04
   120    0.33083E+04    0.10192E+01   -0.35499E+02    0.43123E+07    0.44693E+04
   121    0.33421E+04    0.10281E+01   -0.36057E+02    0.42864E+07    0.44070E+04
   122    0.33759E+04    0.10365E+01   -0.36604E+02    0.42606E+07    0.43458E+04
   123    0.34097E+04    0.10445E+01   -0.37141E+02    0.42351E+07    0.42856E+04
   124    0.34437E+04    0.10521E+01   -0.37664E+02    0.42097E+07    0.42265E+04
   125    0.34776E+04    0.10592E+01   -0.38175E+02    0.41845E+07    0.41683E+04
   126    0.35116E+04    0.10659E+01   -0.38674E+02    0.41595E+07    0.41112E+04
   127    0.35457E+04    0.10722E+01   -0.39160E+02    0.41346E+07    0.40551E+04
   128    0.35797E+04    0.10780E+01   -0.39632E+02    0.41100E+07    0.40001E+04
   129    0.36137E+04    0.10833E+01   -0.40089E+02    0.40855E+07    0.39462E+04
   130    0.36478E+04    0.10881E+01   -0.40531E+02    0.40612E+07    0.38933E+04
   131    0.36818E+04    0.10924E+01   -0.40959E+02    0.40371E+07    0.38415E+04
   132    0.37160E+04    0.10963E+01   -0.41369E+02    0.40131E+07    0.37908E+04
   133    0.37500E+04    0.10997E+01   -0.41765E+02    0.39894E+07    0.37411E+04
   134    0.37840E+04    0.11026E+01   -0.42142E+02    0.39658E+07    0.36924E+04
   135    0.38180E+04    0.11050E+01   -0.42502E+02    0.39424E+07    0.36447E+04
   136    0.38519E+04    0.11069E+01   -0.42843E+02    0.39192E+07    0.35978E+04
   137    0.38858E+04    0.11084E+01   -0.43166E+02    0.38962E+07    0.35519E+04
   138    0.39196E+04    0.11093E+01   -0.43470E+02    0.38733E+07    0.35069E+04
   139    0.39531E+04    0.11098E+01   -0.43754E+02    0.38506E+07    0.34626E+04
   140    0.39868E+04    0.11097E+01   -0.44019E+02    0.38281E+07    0.34192E+04
   141    0.40202E+04    0.11091E+01   -0.44262E+02    0.38057E+07    0.33766E+04
   142    0.40536E+04    0.11080E+01   -0.44486E+02    0.37836E+07    0.33347E+04
   143    0.40869E+04    0.11065E+01   -0.44688E+02    0.37616E+07    0.32935E+04
   144    0.41201E+04    0.11045E+01   -0.44870E+02    0.37397E+07    0.32529E+04
   145    0.41530E+04    0.11020E+01   -0.45030E+02    0.37181E+07    0.32131E+04
   146    0.41861E+04    0.10990E+01   -0.45167E+02    0.36966E+07    0.31738E+04
   147    0.42188E+04    0.10956E+01   -0.45282E+02    0.36752E+07    0.31351E+04
   148    0.42513E+04    0.10917E+01   -0.45375E+02    0.36541E+07    0.30970E+04
   149    0.42838E+04    0.10874E+01   -0.45444E+02    0.36331E+07    0.30593E+04
   150    0.43160E+04    0.10826E+01   -0.45488E+02    0.36122E+07    0.30222E+04
   151    0.43480E+04    0.10774E+01   -0.45509E+02    0.35915E+07    0.29855E+04
   152    0.43798E+04    0.10717E+01   -0.45506E+02    0.35710E+07    0.29493E+04
   153    0.44114E+04    0.10656E+01   -0.45478E+02    0.35507E+07    0.29135E+04
   154    0.44428E+04    0.10592E+01   -0.45425E+02    0.35305E+07    0.28782E+04
   155    0.44740E+04    0.10523E+01   -0.45347E+02    0.35104E+07    0.28433E+04
   156    0.45048E+04    0.10451E+01   -0.45245E+02    0.34906E+07    0.28089E+04
   157    0.45356E+04    0.10376E+01   -0.45116E+02    0.34708E+07    0.27749E+04
   158    0.45660E+04    0.10297E+01   -0.44961E+02    0.34513E+07    0.27414E+04
   159    0.45962E+04    0.10214E+01   -0.44782E+02    0.34319E+07    0.27084E+04
   160    0.46261E+04    0.10128E+01   -0.44575E+02    0.34126E+07    0.26758E+04
   161    0.46558E+04    0.10040E+01   -0.44342E+02    0.33935E+07    0.26437E+04
   162    0.46852E+04    0.99477E+00   -0.44084E+02    0.33746E+07    0.26120E+04
   163    0.47145E+04    0.98529E+00   -0.43799E+02    0.33558E+07    0.25807E+04
   164    0.47433E+04    0.97559E+00   -0.43488E+02    0.33371E+07    0.25500E+04
   165    0.47719E+04    0.96560E+00   -0.43150E+02    0.33186E+07    0.25197E+04
   166    0.48003E+04    0.95547E+00   -0.42785E+02    0.33003E+07    0.24898E+04
   167    0.48284E+04    0.94497E+00   -0.42394E+02    0.32820E+07    0.24604E+04
   168    0.48561E+04    0.93448E+00   -0.41975E+02    0.32640E+07    0.24314E+04
   169    0.48835E+04    0.92371E+00   -0.41529E+02    0.32461E+07    0.24030E+04
   170    0.49106E+04    0.91287E+00   -0.41056E+02    0.32283E+07    0.23749E+04
   171    0.49372E+04    0.90196E+00   -0.40554E+02    0.32107E+07    0.23474E+04
   172    0.49634E+04    0.89092E+00   -0.40026E+02    0.31932E+07    0.23202E+04
   173    0.49892E+04    0.87974E+00   -0.39470E+02    0.31759E+07    0.22936E+04
   174    0.50146E+04    0.86872E+00   -0.38886E+02    0.31587E+07    0.22674E+04
   175    0.50397E+04    0.85756E+00   -0.38275E+02    0.31416E+07    0.22416E+04
   176    0.50643E+04    0.84650E+00   -0.37636E+02    0.31247E+07    0.22163E+04
   177    0.50885E+04    0.83545E+00   -0.36970E+02    0.31079E+07    0.21915E+04
   178    0.51122E+04    0.82463E+00   -0.36277E+02    0.30913E+07    0.21671E+04
   179    0.51354E+04    0.81376E+00   -0.35555E+02    0.30747E+07    0.21431E+04
   180    0.51584E+04    0.80306E+00   -0.34807E+02    0.30584E+07    0.21196E+04
   181    0.51808E+04    0.79253E+00   -0.34033E+02    0.30421E+07    0.20964E+04
   182    0.52027E+04    0.78224E+00   -0.33230E+02    0.30260E+07    0.20737E+04
   183    0.52242E+04    0.77212E+00   -0.32402E+02    0.30100E+07    0.20513E+04
   184    0.52452E+04    0.76224E+00   -0.31546E+02    0.29942E+07    0.20293E+04
   185    0.52658E+04    0.75277E+00   -0.30665E+02    0.29784E+07    0.20077E+04
   186    0.52856E+04    0.74354E+00   -0.29756E+02    0.29628E+07    0.19865E+04
   187    0.53052E+04    0.73472E+00   -0.28821E+02    0.29474E+07    0.19656E+04
   188    0.53243E+04    0.72629E+00   -0.27861E+02    0.29320E+07    0.19450E+04
   189    0.53428E+04    0.71827E+00   -0.26875E+02    0.29168E+07    0.19247E+04
   190    0.53611E+04    0.71074E+00   -0.25865E+02    0.29017E+07    0.19048E+04
   191    0.53785E+04    0.70370E+00   -0.24827E+02    0.28867E+07    0.18852E+04
   192    0.53956E+04    0.69719E+00   -0.23765E+02    0.28718E+07    0.18659E+04
   193    0.54121E+04    0.69125E+00   -0.22679E+02    0.28571E+07    0.18468E+04
   194    0.54282E+04    0.68590E+00   -0.21568E+02    0.28424E+07    0.18281E+04
   195    0.54436E+04    0.68120E+00   -0.20434E+02    0.28279E+07    0.18096E+04
   196    0.54585E+04    0.67718E+00   -0.19275E+02    0.28135E+07    0.17913E+04
   197    0.54730E+04    0.67387E+00   -0.18095E+02    0.27992E+07    0.17734E+04
   198    0.54869E+04    0.67132E+00   -0.16890E+02    0.27850E+07    0.17556E+04
   199    0.55003E+04    0.66955E+00   -0.15664E+02    0.27709E+07    0.17381E+04
   200    0.55132E+04    0.66859E+00   -0.14415E+02    0.27570E+07    0.17208E+04
   201    0.55255E+04    0.66852E+00   -0.13144E+02    0.27431E+07    0.17037E+04
   202    0.55373E+04    0.66933E+00   -0.11852E+02    0.27294E+07    0.16868E+04
   203    0.55484E+04    0.67108E+00   -0.10539E+02    0.27157E+07    0.16701E+04
   204    0.55590E+04    0.67380E+00   -0.92062E+01    0.27022E+07    0.16536E+04
   205    0.55689E+04    0.67753E+00   -0.78529E+01    0.26887E+07    0.16373E+04
   206    0.55783E+04    0.68232E+00   -0.64799E+01    0.26754E+07    0.16212E+04
   207    0.55871E+04    0.68818E+00   -0.50878E+01    0.26621E+07    0.16053E+04
   208    0.55951E+04    0.69517E+00   -0.36770E+01    0.26490E+07    0.15896E+04
   209    0.56026E+04    0.70331E+00   -0.22478E+01    0.26360E+07    0.15741E+04
   210    0.56094E+04    0.71265E+00   -0.80137E+00    0.26230E+07    0.15588E+04
   211    0.56157E+04    0.72322E+00    0.66241E+00    0.26102E+07    0.15436E+04
   212    0.56212E+04    0.73506E+00    0.21425E+01    0.25975E+07    0.15287E+04
   213    0.56262E+04    0.74820E+00    0.36390E+01    0.25848E+07    0.15139E+04
   214    0.56306E+04    0.76265E+00    0.51507E+01    0.25723E+07    0.14993E+04
   215    0.56343E+04    0.77860E+00    0.66768E+01    0.25598E+07    0.14849E+04
   216    0.56374E+04    0.79586E+00    0.82177E+01    0.25475E+07    0.14707E+04
   217    0.56399E+04    0.81458E+00    0.97716E+01    0.25352E+07    0.14567E+04
   218    0.56418E+04    0.83478E+00    0.11339E+02    0.25231E+07    0.14428E+04
   219    0.56431E+04    0.85644E+00    0.12920E+02    0.25110E+07    0.14291E+04
   220    0.56437E+04    0.87972E+00    0.14510E+02    0.24990E+07    0.14156E+04
   221    0.56438E+04    0.90455E+00    0.16113E+02    0.24871E+07    0.14022E+04
   222    0.56433E+04    0.93107E+00    0.17725E+02    0.24753E+07    0.13890E+04
   223    0.56421E+04    0.95921E+00    0.19349E+02    0.24636E+07    0.13760E+04
   224    0.56403E+04    0.98898E+00    0.20980E+02    0.24519E+07    0.13631E+04
   225    0.56380E+04    0.10205E+01    0.22621E+02    0.24404E+07    0.13504E+04
   226    0.56350E+04    0.10538E+01    0.24269E+02    0.24289E+07    0.13378E+04
   227    0.56313E+04    0.10889E+01    0.25924E+02    0.24176E+07    0.13254E+04
   228    0.56272E+04    0.11258E+01    0.27587E+02    0.24063E+07    0.13132E+04
   229    0.56224E+04    0.11645E+01    0.29254E+02    0.23951E+07    0.13011E+04
   230    0.56169E+04    0.12050E+01    0.30927E+02    0.23840E+07    0.12892E+04
   231    0.56108E+04    0.12475E+01    0.32605E+02    0.23729E+07    0.12774E+04
   232    0.56042E+04    0.12918E+01    0.34286E+02    0.23620E+07    0.12657E+04
   233    0.55969E+04    0.13382E+01    0.35969E+02    0.23511E+07    0.12542E+04
   234    0.55890E+04    0.13865E+01    0.37655E+02    0.23403E+07    0.12429E+04
   235    0.55804E+04    0.14369E+01    0.39342E+02    0.23296E+07    0.12317E+04
   236    0.55713E+04    0.14892E+01    0.41031E+02    0.23189E+07    0.12206E+04
   237    0.55615E+04    0.15436E+01    0.42719E+02    0.23083E+07    0.12097E+04
   238    0.55511E+04    0.16002E+01    0.44406E+02    0.22978E+07    0.11989E+04
   239    0.55402E+04    0.16587E+01    0.46093E+02    0.22874E+07    0.11882E+04
   240    0.55285E+04    0.17194E+01    0.47776E+02    0.22771E+07    0.11777E+04
   241    0.55164E+04    0.17823E+01    0.49457E+02    0.22668E+07    0.11673E+04
   242    0.55037E+04    0.18472E+01    0.51134E+02    0.22566E+07    0.11570E+04
   243    0.54904E+04    0.19144E+01    0.52806E+02    0.22465E+07    0.11468E+04
   244    0.54765E+04    0.19837E+01    0.54474E+02    0.22364E+07    0.11368E+04
   245    0.54620E+04    0.20553E+01    0.56135E+02    0.22265E+07    0.11269E+04
   246    0.54469E+04    0.21291E+01    0.57791E+02    0.22165E+07    0.11171E+04
   247    0.54314E+04    0.22051E+01    0.59438E+02    0.22067E+07    0.11075E+04
   248    0.54152E+04    0.22836E+01    0.61078E+02    0.21969E+07    0.10979E+04
   249    0.53986E+04    0.23641E+01    0.62709E+02    0.21872E+07    0.10885E+04
   250    0.53814E+04    0.24470E+01    0.64329E+02    0.21776E+07    0.10792E+04
   251    0.53637E+04    0.25322E+01    0.65941E+02    0.21680E+07    0.10699E+04
   252    0.53454E+04    0.26197E+01    0.67541E+02    0.21584E+07    0.10608E+04
   253    0.53267E+04    0.27093E+01    0.69129E+02    0.21490E+07    0.10518E+04
   254    0.53075E+04    0.28015E+01    0.70704E+02    0.21396E+07    0.10430E+04
   255    0.52877E+04    0.28957E+01    0.72267E+02    0.21303E+07    0.10342E+04
   256    0.52674E+04    0.29926E+01    0.73818E+02    0.21210E+07    0.10255E+04
   257    0.52468E+04    0.30914E+01    0.75348E+02    0.21118E+07    0.10169E+04
   258    0.52256E+04    0.31928E+01    0.76870E+02    0.21027E+07    0.10085E+04
   259    0.52039E+04    0.32964E+01    0.78369E+02    0.20936E+07    0.10001E+04
   260    0.51819E+04    0.34024E+01    0.79860E+02    0.20846E+07    0.99181E+03
   261    0.51593E+04    0.35105E+01    0.81320E+02    0.20756E+07    0.98363E+03
   262    0.51362E+04    0.36212E+01    0.82773E+02    0.20667E+07    0.97556E+03
   263    0.51130E+04    0.37340E+01    0.84210E+02    0.20578E+07    0.96758E+03
   264    0.50891E+04    0.38491E+01    0.85625E+02    0.20491E+07    0.95969E+03
   265    0.50648E+04    0.39665E+01    0.87009E+02    0.20403E+07    0.95190E+03
   266    0.50401E+04    0.40863E+01    0.88384E+02    0.20317E+07    0.94419E+03
   267    0.50149E+04    0.42082E+01    0.89730E+02    0.20230E+07    0.93658E+03
   268    0.49894E+04    0.43325E+01    0.91060E+02    0.20145E+07    0.92906E+03
   269    0.49633E+04    0.44589E+01    0.92367E+02    0.20060E+07    0.92163E+03
   270    0.49370E+04    0.45876E+01    0.93651E+02    0.19975E+07    0.91428E+03
   271    0.49102E+04    0.47184E+01    0.94912E+02    0.19892E+07    0.90702E+03
   272    0.48832E+04    0.48516E+01    0.96143E+02    0.19808E+07    0.89985E+03
   273    0.48558E+04    0.49867E+01    0.97358E+02    0.19725E+07    0.89275E+03
   274    0.48281E+04    0.51242E+01    0.98535E+02    0.19643E+07    0.88574E+03
   275    0.48000E+04    0.52637E+01    0.99697E+02    0.19561E+07    0.87881E+03
   276    0.47716E+04    0.54052E+01    0.10082E+03    0.19480E+07    0.87196E+03
   277    0.47429E+04    0.55489E+01    0.10193E+03    0.19399E+07    0.86519E+03
   278    0.47139E+04    0.56947E+01    0.10300E+03    0.19319E+07    0.85850E+03
   279    0.46846E+04    0.58424E+01    0.10404E+03    0.19240E+07    0.85188E+03
   280    0.46550E+04    0.59922E+01    0.10506E+03    0.19160E+07    0.84534E+03
   281    0.46252E+04    0.61440E+01    0.10605E+03    0.19082E+07    0.83887E+03
   282    0.45950E+04    0.62975E+01    0.10701E+03    0.19004E+07    0.83247E+03
   283    0.45647E+04    0.64530E+01    0.10793E+03    0.18926E+07    0.82614E+03
   284    0.45341E+04    0.66104E+01    0.10883E+03    0.18849E+07    0.81988E+03
   285    0.45033E+04    0.67697E+01    0.10969E+03    0.18772E+07    0.81369E+03
   286    0.44722E+04    0.69308E+01    0.11052E+03    0.18696E+07    0.80757E+03
   287    0.44409E+04    0.70936E+01    0.11132E+03    0.18620E+07    0.80152E+03
