#    L    TT             EE             TE             PP             TP          
    75    0.18922E+04    0.37958E+00   -0.77271E+01    0.53456E+07    0.83551E+04
    76    0.19165E+04    0.39315E+00   -0.82130E+01    0.53162E+07    0.82242E+04
    77    0.19411E+04    0.40689E+00   -0.87094E+01    0.52867E+07    0.80959E+04
    78    0.19660E+04    0.42082E+00   -0.92175E+01    0.52572E+07    0.79694E+04
    79    0.19912E+04    0.43490E+00   -0.97335E+01    0.52275E+07    0.78442E+04
    80    0.20166E+04    0.44911E+00   -0.10259E+02    0.51979E+07    0.77196E+04
    81    0.20421E+04    0.46342E+00   -0.10794E+02    0.51682E+07    0.75951E+04
    82    0.20679E+04    0.47784E+00   -0.11338E+02    0.51385E+07    0.74711E+04
    83    0.20939E+04    0.49235E+00   -0.11891E+02    0.51089E+07    0.73484E+04
    84    0.21202E+04    0.50694E+00   -0.12451E+02    0.50792E+07    0.72274E+04
    85    0.21466E+04    0.52160E+00   -0.13018E+02    0.50497E+07    0.71090E+04
    86    0.21731E+04    0.53633E+00   -0.13592E+02    0.50201E+07    0.69936E+04
    87    0.22001E+04    0.55110E+00   -0.14172E+02    0.49907E+07    0.68811E+04
    88    0.22271E+04    0.56592E+00   -0.14758E+02    0.49613E+07    0.67715E+04
    89    0.22544E+04    0.58079E+00   -0.15352E+02    0.49319E+07    0.66647E+04
    90    0.22819E+04    0.59566E+00   -0.15950E+02    0.49027E+07    0.65604E+04
    91    0.23096E+04    0.61053E+00   -0.16554E+02    0.48736E+07    0.64586E+04
    92    0.23375E+04    0.62538E+00   -0.17162E+02    0.48445E+07    0.63592E+04
    93    0.23657E+04    0.64021E+00   -0.17775E+02    0.48156E+07    0.62621E+04
    94    0.23940E+04    0.65498E+00   -0.18392E+02    0.47868E+07    0.61672E+04
    95    0.24225E+04    0.66969E+00   -0.19013E+02    0.47580E+07    0.60745E+04
    96    0.24511E+04    0.68432E+00   -0.19637E+02    0.47294E+07    0.59839E+04
    97    0.24801E+04    0.69887E+00   -0.20264E+02    0.47009E+07    0.58953E+04
    98    0.25093E+04    0.71332E+00   -0.20891E+02    0.46726E+07    0.58086E+04
    99    0.25385E+04    0.72763E+00   -0.21522E+02    0.46443E+07    0.57237E+04
