#    L    TT             EE             BB             TE             PP             TP             EP          
    55    0.15215E+04    0.16122E+00    0.00000E+00   -0.50986E+00    0.13700E-06    0.74871E-03   -0.52325E-06
    56    0.15425E+04    0.17068E+00    0.00000E+00   -0.76518E+00    0.13638E-06    0.73426E-03   -0.48934E-06
    57    0.15637E+04    0.18031E+00    0.00000E+00   -0.10330E+01    0.13574E-06    0.72051E-03   -0.42632E-06
    58    0.15853E+04    0.19010E+00    0.00000E+00   -0.13141E+01    0.13510E-06    0.70736E-03   -0.34770E-06
    59    0.16070E+04    0.20010E+00    0.00000E+00   -0.16092E+01    0.13444E-06    0.69467E-03   -0.26697E-06
    60    0.16288E+04    0.21036E+00    0.00000E+00   -0.19175E+01    0.13378E-06    0.68233E-03   -0.19758E-06
    61    0.16511E+04    0.22097E+00    0.00000E+00   -0.22383E+01    0.13310E-06    0.67023E-03   -0.14989E-06
    62    0.16734E+04    0.23193E+00    0.00000E+00   -0.25723E+01    0.13242E-06    0.65832E-03   -0.12188E-06
    63    0.16957E+04    0.24318E+00    0.00000E+00   -0.29207E+01    0.13173E-06    0.64654E-03   -0.10848E-06
    64    0.17184E+04    0.25476E+00    0.00000E+00   -0.32844E+01    0.13104E-06    0.63486E-03   -0.10461E-06
    65    0.17411E+04    0.26661E+00    0.00000E+00   -0.36642E+01    0.13034E-06    0.62322E-03   -0.10520E-06
    66    0.17642E+04    0.27869E+00    0.00000E+00   -0.40581E+01    0.12963E-06    0.61162E-03   -0.10637E-06
    67    0.17875E+04    0.29099E+00    0.00000E+00   -0.44634E+01    0.12893E-06    0.60014E-03   -0.10898E-06
    68    0.18111E+04    0.30354E+00    0.00000E+00   -0.48784E+01    0.12822E-06    0.58887E-03   -0.11507E-06
    69    0.18350E+04    0.31632E+00    0.00000E+00   -0.53016E+01    0.12751E-06    0.57792E-03   -0.12668E-06
    70    0.18591E+04    0.32935E+00    0.00000E+00   -0.57346E+01    0.12680E-06    0.56741E-03   -0.14583E-06
    71    0.18834E+04    0.34263E+00    0.00000E+00   -0.61798E+01    0.12608E-06    0.55740E-03   -0.17314E-06
    72    0.19079E+04    0.35612E+00    0.00000E+00   -0.66386E+01    0.12537E-06    0.54787E-03   -0.20350E-06
    73    0.19325E+04    0.36980E+00    0.00000E+00   -0.71115E+01    0.12465E-06    0.53874E-03   -0.23041E-06
    74    0.19574E+04    0.38365E+00    0.00000E+00   -0.75977E+01    0.12394E-06    0.52995E-03   -0.24735E-06
    75    0.19825E+04    0.39769E+00    0.00000E+00   -0.80957E+01    0.12322E-06    0.52143E-03   -0.24783E-06
    76    0.20079E+04    0.41191E+00    0.00000E+00   -0.86048E+01    0.12250E-06    0.51313E-03   -0.22775E-06
    77    0.20337E+04    0.42630E+00    0.00000E+00   -0.91248E+01    0.12178E-06    0.50499E-03   -0.19262E-06
    78    0.20598E+04    0.44090E+00    0.00000E+00   -0.96571E+01    0.12106E-06    0.49698E-03   -0.15035E-06
    79    0.20862E+04    0.45565E+00    0.00000E+00   -0.10198E+02    0.12033E-06    0.48906E-03   -0.10881E-06
    80    0.21128E+04    0.47054E+00    0.00000E+00   -0.10748E+02    0.11961E-06    0.48117E-03   -0.75897E-07
    81    0.21396E+04    0.48553E+00    0.00000E+00   -0.11309E+02    0.11890E-06    0.47330E-03   -0.57836E-07
    82    0.21666E+04    0.50064E+00    0.00000E+00   -0.11879E+02    0.11818E-06    0.46548E-03   -0.54234E-07
    83    0.21938E+04    0.51584E+00    0.00000E+00   -0.12458E+02    0.11746E-06    0.45773E-03   -0.63047E-07
    84    0.22213E+04    0.53113E+00    0.00000E+00   -0.13045E+02    0.11675E-06    0.45010E-03   -0.82236E-07
    85    0.22490E+04    0.54649E+00    0.00000E+00   -0.13639E+02    0.11604E-06    0.44263E-03   -0.10976E-06
    86    0.22768E+04    0.56192E+00    0.00000E+00   -0.14240E+02    0.11533E-06    0.43536E-03   -0.14340E-06
    87    0.23051E+04    0.57739E+00    0.00000E+00   -0.14848E+02    0.11462E-06    0.42827E-03   -0.18021E-06
    88    0.23333E+04    0.59292E+00    0.00000E+00   -0.15462E+02    0.11391E-06    0.42137E-03   -0.21705E-06
    89    0.23619E+04    0.60850E+00    0.00000E+00   -0.16084E+02    0.11321E-06    0.41464E-03   -0.25078E-06
    90    0.23908E+04    0.62408E+00    0.00000E+00   -0.16711E+02    0.11251E-06    0.40808E-03   -0.27829E-06
    91    0.24198E+04    0.63966E+00    0.00000E+00   -0.17343E+02    0.11182E-06    0.40167E-03   -0.29709E-06
    92    0.24490E+04    0.65522E+00    0.00000E+00   -0.17981E+02    0.11112E-06    0.39542E-03   -0.30725E-06
    93    0.24786E+04    0.67076E+00    0.00000E+00   -0.18623E+02    0.11044E-06    0.38932E-03   -0.30952E-06
    94    0.25082E+04    0.68623E+00    0.00000E+00   -0.19270E+02    0.10975E-06    0.38335E-03   -0.30462E-06
    95    0.25381E+04    0.70164E+00    0.00000E+00   -0.19920E+02    0.10907E-06    0.37753E-03   -0.29327E-06
    96    0.25680E+04    0.71697E+00    0.00000E+00   -0.20574E+02    0.10839E-06    0.37184E-03   -0.27620E-06
    97    0.25984E+04    0.73221E+00    0.00000E+00   -0.21231E+02    0.10771E-06    0.36627E-03   -0.25413E-06
    98    0.26290E+04    0.74735E+00    0.00000E+00   -0.21888E+02    0.10704E-06    0.36083E-03   -0.22780E-06
    99    0.26597E+04    0.76235E+00    0.00000E+00   -0.22549E+02    0.10637E-06    0.35550E-03   -0.19792E-06
   100    0.26906E+04    0.77721E+00    0.00000E+00   -0.23210E+02    0.10570E-06    0.35029E-03   -0.16523E-06
