# ExpInd    tau    omega_c_h2    A_s    theta_s    omega_b_h2    n_s
0.000000000000000000e+00 8.472421077134003123e-03 9.443101080480621051e-04 3.194179446319891582e-11 2.052012621399217157e-06 8.713034694828558603e-05 4.156158070522927850e-03
1.000000000000000000e+00 7.676612714988892069e-03 8.449644874268739513e-04 2.882886552001168001e-11 1.603028622276045079e-06 6.968130146237856465e-05 3.279570309415778036e-03
2.000000000000000000e+00 6.763486100139278791e-03 7.424162496789247535e-04 2.537163822869341647e-11 1.285740599892845174e-06 5.632570935021393718e-05 2.613259928929004185e-03
3.000000000000000000e+00 8.413859975287735216e-03 9.294914747262505604e-04 3.165843219928972013e-11 1.984757362542783959e-06 8.214768957836040793e-05 4.073195792643728372e-03
4.000000000000000000e+00 7.573126779134321633e-03 8.268507530747271029e-04 2.839177723518524212e-11 1.534329947004483526e-06 6.552699602980578870e-05 3.200887225017665441e-03
5.000000000000000000e+00 6.606054982847176134e-03 7.191209915435528436e-04 2.474282873570954654e-11 1.213880234062900895e-06 5.277322107221866159e-05 2.535649464516947539e-03
6.000000000000000000e+00 8.310434547280596065e-03 9.039103181540522136e-04 3.114765470533414239e-11 1.875271265424751996e-06 7.246918793686351376e-05 3.932627945313698151e-03
7.000000000000000000e+00 7.393841078492581313e-03 7.970117579409393164e-04 2.761649095365468361e-11 1.423829679072371142e-06 5.752493501014695106e-05 3.071514160525379462e-03
8.000000000000000000e+00 6.334403537010461008e-03 6.809631933030984956e-04 2.364501585450051582e-11 1.099567898995320508e-06 4.610213535137058739e-05 2.405131153744435174e-03
