#    L    TT             EE             TE             PP             TP          
    75    0.19501E+04    0.38951E+00   -0.79426E+01    0.55417E+07    0.86493E+04
    76    0.19753E+04    0.40349E+00   -0.84424E+01    0.55118E+07    0.85144E+04
    77    0.20008E+04    0.41764E+00   -0.89530E+01    0.54817E+07    0.83821E+04
    78    0.20267E+04    0.43199E+00   -0.94757E+01    0.54516E+07    0.82518E+04
    79    0.20527E+04    0.44649E+00   -0.10007E+02    0.54214E+07    0.81227E+04
    80    0.20791E+04    0.46114E+00   -0.10548E+02    0.53911E+07    0.79942E+04
    81    0.21056E+04    0.47588E+00   -0.11099E+02    0.53608E+07    0.78659E+04
    82    0.21324E+04    0.49074E+00   -0.11659E+02    0.53305E+07    0.77380E+04
    83    0.21593E+04    0.50570E+00   -0.12228E+02    0.53002E+07    0.76115E+04
    84    0.21866E+04    0.52075E+00   -0.12804E+02    0.52700E+07    0.74868E+04
    85    0.22139E+04    0.53586E+00   -0.13388E+02    0.52397E+07    0.73646E+04
    86    0.22415E+04    0.55105E+00   -0.13979E+02    0.52095E+07    0.72456E+04
    87    0.22695E+04    0.56628E+00   -0.14577E+02    0.51794E+07    0.71296E+04
    88    0.22975E+04    0.58158E+00   -0.15181E+02    0.51493E+07    0.70165E+04
    89    0.23258E+04    0.59692E+00   -0.15792E+02    0.51193E+07    0.69063E+04
    90    0.23543E+04    0.61226E+00   -0.16409E+02    0.50894E+07    0.67987E+04
    91    0.23830E+04    0.62761E+00   -0.17031E+02    0.50596E+07    0.66936E+04
    92    0.24120E+04    0.64294E+00   -0.17658E+02    0.50298E+07    0.65911E+04
    93    0.24413E+04    0.65825E+00   -0.18291E+02    0.50002E+07    0.64909E+04
    94    0.24706E+04    0.67350E+00   -0.18927E+02    0.49707E+07    0.63930E+04
    95    0.25002E+04    0.68869E+00   -0.19567E+02    0.49412E+07    0.62973E+04
    96    0.25298E+04    0.70381E+00   -0.20210E+02    0.49119E+07    0.62038E+04
    97    0.25599E+04    0.71884E+00   -0.20857E+02    0.48827E+07    0.61123E+04
    98    0.25902E+04    0.73377E+00   -0.21505E+02    0.48536E+07    0.60228E+04
    99    0.26206E+04    0.74857E+00   -0.22156E+02    0.48246E+07    0.59352E+04
   100    0.26512E+04    0.76323E+00   -0.22806E+02    0.47958E+07    0.58494E+04
   101    0.26820E+04    0.77782E+00   -0.23459E+02    0.47671E+07    0.57654E+04
   102    0.27134E+04    0.79219E+00   -0.24112E+02    0.47385E+07    0.56830E+04
   103    0.27446E+04    0.80641E+00   -0.24765E+02    0.47101E+07    0.56023E+04
   104    0.27761E+04    0.82048E+00   -0.25417E+02    0.46817E+07    0.55230E+04
   105    0.28078E+04    0.83433E+00   -0.26068E+02    0.46536E+07    0.54452E+04
   106    0.28396E+04    0.84803E+00   -0.26717E+02    0.46256E+07    0.53687E+04
   107    0.28714E+04    0.86144E+00   -0.27364E+02    0.45977E+07    0.52935E+04
   108    0.29036E+04    0.87463E+00   -0.28009E+02    0.45700E+07    0.52194E+04
   109    0.29360E+04    0.88751E+00   -0.28651E+02    0.45425E+07    0.51465E+04
   110    0.29684E+04    0.90011E+00   -0.29288E+02    0.45151E+07    0.50746E+04
   111    0.30010E+04    0.91248E+00   -0.29921E+02    0.44879E+07    0.50037E+04
   112    0.30337E+04    0.92455E+00   -0.30550E+02    0.44608E+07    0.49338E+04
   113    0.30667E+04    0.93633E+00   -0.31174E+02    0.44340E+07    0.48648E+04
   114    0.30997E+04    0.94774E+00   -0.31791E+02    0.44073E+07    0.47968E+04
   115    0.31330E+04    0.95893E+00   -0.32402E+02    0.43807E+07    0.47297E+04
   116    0.31663E+04    0.96967E+00   -0.33005E+02    0.43544E+07    0.46636E+04
   117    0.31999E+04    0.98003E+00   -0.33601E+02    0.43282E+07    0.45985E+04
   118    0.32337E+04    0.99018E+00   -0.34189E+02    0.43022E+07    0.45344E+04
   119    0.32674E+04    0.99995E+00   -0.34767E+02    0.42763E+07    0.44712E+04
   120    0.33013E+04    0.10092E+01   -0.35336E+02    0.42507E+07    0.44091E+04
   121    0.33352E+04    0.10182E+01   -0.35895E+02    0.42252E+07    0.43479E+04
   122    0.33692E+04    0.10267E+01   -0.36444E+02    0.41999E+07    0.42877E+04
   123    0.34032E+04    0.10348E+01   -0.36982E+02    0.41747E+07    0.42285E+04
   124    0.34374E+04    0.10425E+01   -0.37506E+02    0.41497E+07    0.41704E+04
   125    0.34715E+04    0.10497E+01   -0.38020E+02    0.41249E+07    0.41132E+04
   126    0.35057E+04    0.10566E+01   -0.38521E+02    0.41003E+07    0.40570E+04
   127    0.35399E+04    0.10629E+01   -0.39009E+02    0.40759E+07    0.40018E+04
   128    0.35740E+04    0.10689E+01   -0.39484E+02    0.40516E+07    0.39477E+04
   129    0.36083E+04    0.10743E+01   -0.39944E+02    0.40275E+07    0.38945E+04
   130    0.36425E+04    0.10792E+01   -0.40389E+02    0.40036E+07    0.38424E+04
   131    0.36768E+04    0.10837E+01   -0.40820E+02    0.39799E+07    0.37913E+04
   132    0.37111E+04    0.10877E+01   -0.41234E+02    0.39563E+07    0.37412E+04
   133    0.37453E+04    0.10913E+01   -0.41634E+02    0.39329E+07    0.36920E+04
   134    0.37795E+04    0.10944E+01   -0.42015E+02    0.39097E+07    0.36439E+04
   135    0.38137E+04    0.10970E+01   -0.42380E+02    0.38867E+07    0.35966E+04
   136    0.38477E+04    0.10991E+01   -0.42726E+02    0.38639E+07    0.35502E+04
   137    0.38818E+04    0.11007E+01   -0.43054E+02    0.38412E+07    0.35046E+04
   138    0.39158E+04    0.11018E+01   -0.43363E+02    0.38187E+07    0.34599E+04
   139    0.39495E+04    0.11025E+01   -0.43653E+02    0.37963E+07    0.34160E+04
   140    0.39834E+04    0.11026E+01   -0.43924E+02    0.37742E+07    0.33729E+04
   141    0.40170E+04    0.11022E+01   -0.44174E+02    0.37522E+07    0.33305E+04
   142    0.40506E+04    0.11013E+01   -0.44403E+02    0.37303E+07    0.32889E+04
   143    0.40841E+04    0.11000E+01   -0.44613E+02    0.37087E+07    0.32479E+04
   144    0.41174E+04    0.10982E+01   -0.44802E+02    0.36872E+07    0.32076E+04
   145    0.41506E+04    0.10960E+01   -0.44969E+02    0.36658E+07    0.31680E+04
   146    0.41838E+04    0.10931E+01   -0.45114E+02    0.36447E+07    0.31290E+04
   147    0.42167E+04    0.10900E+01   -0.45236E+02    0.36237E+07    0.30905E+04
   148    0.42495E+04    0.10863E+01   -0.45337E+02    0.36028E+07    0.30526E+04
   149    0.42822E+04    0.10821E+01   -0.45415E+02    0.35821E+07    0.30153E+04
   150    0.43146E+04    0.10776E+01   -0.45467E+02    0.35616E+07    0.29784E+04
   151    0.43468E+04    0.10726E+01   -0.45498E+02    0.35413E+07    0.29421E+04
   152    0.43788E+04    0.10671E+01   -0.45504E+02    0.35211E+07    0.29062E+04
   153    0.44106E+04    0.10612E+01   -0.45485E+02    0.35010E+07    0.28707E+04
   154    0.44422E+04    0.10550E+01   -0.45441E+02    0.34811E+07    0.28358E+04
   155    0.44736E+04    0.10483E+01   -0.45374E+02    0.34614E+07    0.28013E+04
   156    0.45047E+04    0.10413E+01   -0.45281E+02    0.34418E+07    0.27673E+04
   157    0.45357E+04    0.10340E+01   -0.45163E+02    0.34224E+07    0.27338E+04
   158    0.45663E+04    0.10263E+01   -0.45019E+02    0.34032E+07    0.27007E+04
   159    0.45967E+04    0.10182E+01   -0.44850E+02    0.33840E+07    0.26682E+04
   160    0.46269E+04    0.10098E+01   -0.44654E+02    0.33651E+07    0.26360E+04
   161    0.46568E+04    0.10011E+01   -0.44433E+02    0.33463E+07    0.26044E+04
   162    0.46864E+04    0.99209E+00   -0.44186E+02    0.33276E+07    0.25732E+04
   163    0.47159E+04    0.98277E+00   -0.43913E+02    0.33091E+07    0.25424E+04
   164    0.47450E+04    0.97323E+00   -0.43614E+02    0.32907E+07    0.25122E+04
   165    0.47739E+04    0.96338E+00   -0.43287E+02    0.32725E+07    0.24824E+04
   166    0.48025E+04    0.95339E+00   -0.42934E+02    0.32544E+07    0.24530E+04
   167    0.48308E+04    0.94303E+00   -0.42556E+02    0.32365E+07    0.24241E+04
   168    0.48587E+04    0.93266E+00   -0.42150E+02    0.32187E+07    0.23957E+04
