#    L    TT             EE             BB             TE             PP             TP             EP          
    55    0.15226E+04    0.15982E+00    0.00000E+00   -0.51992E+00    0.13698E-06    0.74751E-03   -0.51329E-06
    56    0.15436E+04    0.16920E+00    0.00000E+00   -0.77484E+00    0.13636E-06    0.73314E-03   -0.46681E-06
    57    0.15649E+04    0.17874E+00    0.00000E+00   -0.10424E+01    0.13572E-06    0.71949E-03   -0.39132E-06
    58    0.15864E+04    0.18844E+00    0.00000E+00   -0.13232E+01    0.13507E-06    0.70643E-03   -0.30177E-06
    59    0.16082E+04    0.19834E+00    0.00000E+00   -0.16179E+01    0.13442E-06    0.69382E-03   -0.21308E-06
    60    0.16301E+04    0.20851E+00    0.00000E+00   -0.19258E+01    0.13375E-06    0.68150E-03   -0.14015E-06
    61    0.16524E+04    0.21902E+00    0.00000E+00   -0.22459E+01    0.13308E-06    0.66936E-03   -0.94327E-07
    62    0.16747E+04    0.22987E+00    0.00000E+00   -0.25792E+01    0.13240E-06    0.65736E-03   -0.72813E-07
    63    0.16970E+04    0.24102E+00    0.00000E+00   -0.29266E+01    0.13171E-06    0.64547E-03   -0.69304E-07
    64    0.17198E+04    0.25248E+00    0.00000E+00   -0.32892E+01    0.13101E-06    0.63368E-03   -0.77500E-07
    65    0.17426E+04    0.26422E+00    0.00000E+00   -0.36677E+01    0.13032E-06    0.62196E-03   -0.91115E-07
    66    0.17657E+04    0.27618E+00    0.00000E+00   -0.40602E+01    0.12961E-06    0.61030E-03   -0.10501E-06
    67    0.17890E+04    0.28835E+00    0.00000E+00   -0.44639E+01    0.12891E-06    0.59880E-03   -0.11864E-06
    68    0.18127E+04    0.30078E+00    0.00000E+00   -0.48774E+01    0.12820E-06    0.58755E-03   -0.13260E-06
    69    0.18366E+04    0.31343E+00    0.00000E+00   -0.52989E+01    0.12749E-06    0.57664E-03   -0.14746E-06
    70    0.18608E+04    0.32633E+00    0.00000E+00   -0.57301E+01    0.12677E-06    0.56619E-03   -0.16383E-06
    71    0.18851E+04    0.33947E+00    0.00000E+00   -0.61737E+01    0.12606E-06    0.55626E-03   -0.18159E-06
    72    0.19097E+04    0.35283E+00    0.00000E+00   -0.66308E+01    0.12535E-06    0.54680E-03   -0.19775E-06
    73    0.19343E+04    0.36637E+00    0.00000E+00   -0.71021E+01    0.12463E-06    0.53775E-03   -0.20865E-06
    74    0.19592E+04    0.38008E+00    0.00000E+00   -0.75867E+01    0.12391E-06    0.52901E-03   -0.21061E-06
    75    0.19844E+04    0.39397E+00    0.00000E+00   -0.80830E+01    0.12319E-06    0.52053E-03   -0.19995E-06
    76    0.20099E+04    0.40804E+00    0.00000E+00   -0.85904E+01    0.12247E-06    0.51222E-03   -0.17480E-06
