#    L    TT             EE             TE             PP             TP          
    75    0.19921E+04    0.39840E+00   -0.81818E+01    0.55322E+07    0.88234E+04
    76    0.20177E+04    0.41263E+00   -0.86934E+01    0.55015E+07    0.86835E+04
    77    0.20437E+04    0.42704E+00   -0.92159E+01    0.54707E+07    0.85472E+04
    78    0.20701E+04    0.44165E+00   -0.97505E+01    0.54399E+07    0.84140E+04
    79    0.20966E+04    0.45640E+00   -0.10294E+02    0.54090E+07    0.82833E+04
    80    0.21234E+04    0.47131E+00   -0.10846E+02    0.53781E+07    0.81545E+04
    81    0.21504E+04    0.48631E+00   -0.11410E+02    0.53472E+07    0.80270E+04
    82    0.21777E+04    0.50143E+00   -0.11982E+02    0.53162E+07    0.79007E+04
    83    0.22051E+04    0.51664E+00   -0.12563E+02    0.52853E+07    0.77756E+04
    84    0.22328E+04    0.53194E+00   -0.13152E+02    0.52544E+07    0.76516E+04
    85    0.22607E+04    0.54730E+00   -0.13748E+02    0.52236E+07    0.75286E+04
    86    0.22887E+04    0.56274E+00   -0.14352E+02    0.51928E+07    0.74067E+04
    87    0.23172E+04    0.57821E+00   -0.14963E+02    0.51621E+07    0.72861E+04
    88    0.23456E+04    0.59374E+00   -0.15579E+02    0.51315E+07    0.71674E+04
    89    0.23745E+04    0.60931E+00   -0.16204E+02    0.51010E+07    0.70508E+04
    90    0.24035E+04    0.62488E+00   -0.16833E+02    0.50705E+07    0.69369E+04
    91    0.24327E+04    0.64045E+00   -0.17468E+02    0.50402E+07    0.68260E+04
    92    0.24622E+04    0.65600E+00   -0.18108E+02    0.50099E+07    0.67180E+04
    93    0.24919E+04    0.67153E+00   -0.18752E+02    0.49798E+07    0.66129E+04
    94    0.25218E+04    0.68699E+00   -0.19400E+02    0.49498E+07    0.65105E+04
    95    0.25519E+04    0.70239E+00   -0.20053E+02    0.49199E+07    0.64107E+04
    96    0.25820E+04    0.71772E+00   -0.20708E+02    0.48901E+07    0.63134E+04
    97    0.26126E+04    0.73294E+00   -0.21367E+02    0.48605E+07    0.62186E+04
    98    0.26434E+04    0.74807E+00   -0.22026E+02    0.48309E+07    0.61260E+04
    99    0.26743E+04    0.76306E+00   -0.22688E+02    0.48015E+07    0.60357E+04
   100    0.27055E+04    0.77791E+00   -0.23350E+02    0.47723E+07    0.59474E+04
   101    0.27368E+04    0.79268E+00   -0.24014E+02    0.47432E+07    0.58612E+04
   102    0.27686E+04    0.80722E+00   -0.24678E+02    0.47142E+07    0.57768E+04
   103    0.28004E+04    0.82161E+00   -0.25342E+02    0.46853E+07    0.56942E+04
   104    0.28324E+04    0.83584E+00   -0.26004E+02    0.46567E+07    0.56132E+04
   105    0.28646E+04    0.84984E+00   -0.26666E+02    0.46281E+07    0.55338E+04
   106    0.28969E+04    0.86369E+00   -0.27326E+02    0.45998E+07    0.54558E+04
   107    0.29293E+04    0.87724E+00   -0.27983E+02    0.45715E+07    0.53792E+04
   108    0.29620E+04    0.89055E+00   -0.28637E+02    0.45435E+07    0.53038E+04
   109    0.29948E+04    0.90356E+00   -0.29289E+02    0.45156E+07    0.52295E+04
   110    0.30277E+04    0.91627E+00   -0.29935E+02    0.44879E+07    0.51563E+04
   111    0.30608E+04    0.92874E+00   -0.30577E+02    0.44604E+07    0.50839E+04
   112    0.30941E+04    0.94091E+00   -0.31216E+02    0.44330E+07    0.50125E+04
   113    0.31276E+04    0.95278E+00   -0.31848E+02    0.44059E+07    0.49420E+04
   114    0.31611E+04    0.96426E+00   -0.32474E+02    0.43789E+07    0.48725E+04
   115    0.31949E+04    0.97552E+00   -0.33093E+02    0.43521E+07    0.48039E+04
   116    0.32287E+04    0.98632E+00   -0.33704E+02    0.43254E+07    0.47362E+04
   117    0.32628E+04    0.99673E+00   -0.34307E+02    0.42990E+07    0.46696E+04
   118    0.32970E+04    0.10069E+01   -0.34902E+02    0.42727E+07    0.46038E+04
   119    0.33313E+04    0.10167E+01   -0.35488E+02    0.42466E+07    0.45391E+04
   120    0.33656E+04    0.10260E+01   -0.36063E+02    0.42207E+07    0.44753E+04
   121    0.34000E+04    0.10350E+01   -0.36629E+02    0.41949E+07    0.44126E+04
   122    0.34345E+04    0.10435E+01   -0.37184E+02    0.41694E+07    0.43508E+04
   123    0.34690E+04    0.10516E+01   -0.37728E+02    0.41440E+07    0.42901E+04
   124    0.35036E+04    0.10593E+01   -0.38258E+02    0.41188E+07    0.42304E+04
   125    0.35382E+04    0.10665E+01   -0.38776E+02    0.40938E+07    0.41717E+04
   126    0.35728E+04    0.10733E+01   -0.39282E+02    0.40690E+07    0.41140E+04
   127    0.36075E+04    0.10796E+01   -0.39774E+02    0.40443E+07    0.40574E+04
   128    0.36421E+04    0.10855E+01   -0.40252E+02    0.40198E+07    0.40018E+04
   129    0.36768E+04    0.10909E+01   -0.40716E+02    0.39956E+07    0.39473E+04
   130    0.37115E+04    0.10957E+01   -0.41164E+02    0.39715E+07    0.38939E+04
   131    0.37462E+04    0.11002E+01   -0.41597E+02    0.39476E+07    0.38416E+04
   132    0.37809E+04    0.11041E+01   -0.42014E+02    0.39238E+07    0.37903E+04
   133    0.38155E+04    0.11076E+01   -0.42415E+02    0.39003E+07    0.37400E+04
   134    0.38502E+04    0.11106E+01   -0.42798E+02    0.38769E+07    0.36907E+04
   135    0.38848E+04    0.11130E+01   -0.43163E+02    0.38537E+07    0.36424E+04
   136    0.39193E+04    0.11150E+01   -0.43509E+02    0.38307E+07    0.35950E+04
   137    0.39537E+04    0.11165E+01   -0.43837E+02    0.38079E+07    0.35485E+04
   138    0.39881E+04    0.11174E+01   -0.44145E+02    0.37852E+07    0.35028E+04
   139    0.40222E+04    0.11180E+01   -0.44434E+02    0.37627E+07    0.34580E+04
   140    0.40564E+04    0.11180E+01   -0.44703E+02    0.37404E+07    0.34141E+04
   141    0.40904E+04    0.11174E+01   -0.44951E+02    0.37183E+07    0.33709E+04
