#    L    TT             EE             TE             PP             TP          
    75    0.20603E+04    0.41388E+00   -0.84367E+01    0.56008E+07    0.85514E+04
    76    0.20869E+04    0.42868E+00   -0.89668E+01    0.55700E+07    0.84154E+04
    77    0.21137E+04    0.44367E+00   -0.95079E+01    0.55391E+07    0.82825E+04
    78    0.21410E+04    0.45887E+00   -0.10061E+02    0.55082E+07    0.81522E+04
    79    0.21684E+04    0.47421E+00   -0.10623E+02    0.54771E+07    0.80238E+04
    80    0.21962E+04    0.48971E+00   -0.11196E+02    0.54461E+07    0.78969E+04
    81    0.22241E+04    0.50531E+00   -0.11778E+02    0.54150E+07    0.77708E+04
    82    0.22523E+04    0.52103E+00   -0.12371E+02    0.53839E+07    0.76459E+04
    83    0.22807E+04    0.53685E+00   -0.12973E+02    0.53528E+07    0.75225E+04
    84    0.23094E+04    0.55277E+00   -0.13582E+02    0.53217E+07    0.74010E+04
    85    0.23382E+04    0.56875E+00   -0.14200E+02    0.52907E+07    0.72817E+04
    86    0.23672E+04    0.58480E+00   -0.14826E+02    0.52598E+07    0.71650E+04
    87    0.23967E+04    0.60091E+00   -0.15459E+02    0.52289E+07    0.70509E+04
    88    0.24261E+04    0.61707E+00   -0.16098E+02    0.51981E+07    0.69393E+04
    89    0.24559E+04    0.63328E+00   -0.16746E+02    0.51674E+07    0.68303E+04
    90    0.24860E+04    0.64950E+00   -0.17399E+02    0.51368E+07    0.67238E+04
    91    0.25162E+04    0.66571E+00   -0.18058E+02    0.51063E+07    0.66197E+04
    92    0.25467E+04    0.68190E+00   -0.18722E+02    0.50758E+07    0.65180E+04
    93    0.25775E+04    0.69807E+00   -0.19391E+02    0.50455E+07    0.64186E+04
    94    0.26083E+04    0.71417E+00   -0.20064E+02    0.50153E+07    0.63215E+04
    95    0.26395E+04    0.73021E+00   -0.20741E+02    0.49852E+07    0.62265E+04
    96    0.26707E+04    0.74617E+00   -0.21421E+02    0.49552E+07    0.61336E+04
    97    0.27023E+04    0.76203E+00   -0.22105E+02    0.49254E+07    0.60428E+04
    98    0.27342E+04    0.77779E+00   -0.22789E+02    0.48956E+07    0.59538E+04
    99    0.27662E+04    0.79341E+00   -0.23477E+02    0.48660E+07    0.58668E+04
   100    0.27984E+04    0.80888E+00   -0.24164E+02    0.48366E+07    0.57816E+04
   101    0.28308E+04    0.82427E+00   -0.24853E+02    0.48072E+07    0.56981E+04
   102    0.28638E+04    0.83942E+00   -0.25543E+02    0.47781E+07    0.56162E+04
   103    0.28967E+04    0.85442E+00   -0.26233E+02    0.47490E+07    0.55360E+04
   104    0.29298E+04    0.86925E+00   -0.26921E+02    0.47201E+07    0.54572E+04
   105    0.29631E+04    0.88385E+00   -0.27608E+02    0.46914E+07    0.53799E+04
   106    0.29966E+04    0.89829E+00   -0.28293E+02    0.46628E+07    0.53039E+04
   107    0.30300E+04    0.91241E+00   -0.28976E+02    0.46344E+07    0.52293E+04
   108    0.30639E+04    0.92630E+00   -0.29657E+02    0.46061E+07    0.51558E+04
   109    0.30979E+04    0.93987E+00   -0.30333E+02    0.45780E+07    0.50836E+04
