#    L    TT             EE             TE             PP             TP          
    75    0.19920E+04    0.40284E+00   -0.82773E+01    0.55443E+07    0.89454E+04
    76    0.20176E+04    0.41720E+00   -0.87929E+01    0.55137E+07    0.88036E+04
    77    0.20436E+04    0.43172E+00   -0.93195E+01    0.54830E+07    0.86639E+04
    78    0.20699E+04    0.44645E+00   -0.98583E+01    0.54523E+07    0.85260E+04
    79    0.20964E+04    0.46132E+00   -0.10406E+02    0.54214E+07    0.83893E+04
    80    0.21233E+04    0.47633E+00   -0.10963E+02    0.53906E+07    0.82534E+04
    81    0.21503E+04    0.49144E+00   -0.11530E+02    0.53597E+07    0.81180E+04
    82    0.21775E+04    0.50666E+00   -0.12106E+02    0.53288E+07    0.79835E+04
    83    0.22050E+04    0.52197E+00   -0.12691E+02    0.52979E+07    0.78507E+04
    84    0.22327E+04    0.53737E+00   -0.13283E+02    0.52671E+07    0.77202E+04
    85    0.22606E+04    0.55283E+00   -0.13884E+02    0.52363E+07    0.75927E+04
    86    0.22886E+04    0.56835E+00   -0.14491E+02    0.52056E+07    0.74689E+04
    87    0.23171E+04    0.58392E+00   -0.15104E+02    0.51749E+07    0.73484E+04
    88    0.23456E+04    0.59954E+00   -0.15724E+02    0.51443E+07    0.72313E+04
    89    0.23745E+04    0.61520E+00   -0.16351E+02    0.51138E+07    0.71171E+04
    90    0.24035E+04    0.63085E+00   -0.16983E+02    0.50834E+07    0.70056E+04
    91    0.24328E+04    0.64650E+00   -0.17621E+02    0.50531E+07    0.68966E+04
    92    0.24623E+04    0.66212E+00   -0.18264E+02    0.50229E+07    0.67901E+04
    93    0.24921E+04    0.67772E+00   -0.18911E+02    0.49928E+07    0.66859E+04
    94    0.25219E+04    0.69324E+00   -0.19562E+02    0.49628E+07    0.65840E+04
    95    0.25521E+04    0.70869E+00   -0.20217E+02    0.49329E+07    0.64843E+04
    96    0.25823E+04    0.72405E+00   -0.20875E+02    0.49031E+07    0.63867E+04
    97    0.26129E+04    0.73932E+00   -0.21536E+02    0.48735E+07    0.62912E+04
    98    0.26437E+04    0.75448E+00   -0.22198E+02    0.48440E+07    0.61977E+04
    99    0.26746E+04    0.76949E+00   -0.22863E+02    0.48146E+07    0.61062E+04
   100    0.27058E+04    0.78435E+00   -0.23527E+02    0.47854E+07    0.60165E+04
   101    0.27372E+04    0.79913E+00   -0.24193E+02    0.47563E+07    0.59286E+04
   102    0.27690E+04    0.81368E+00   -0.24859E+02    0.47273E+07    0.58424E+04
   103    0.28009E+04    0.82806E+00   -0.25525E+02    0.46985E+07    0.57579E+04
   104    0.28329E+04    0.84228E+00   -0.26189E+02    0.46698E+07    0.56749E+04
   105    0.28651E+04    0.85626E+00   -0.26852E+02    0.46413E+07    0.55935E+04
   106    0.28975E+04    0.87008E+00   -0.27513E+02    0.46129E+07    0.55136E+04
   107    0.29299E+04    0.88359E+00   -0.28171E+02    0.45847E+07    0.54350E+04
