#    L    TT             EE             TE             PP             TP          
    75    0.20728E+04    0.41580E+00   -0.84644E+01    0.58557E+07    0.91524E+04
    76    0.20994E+04    0.43067E+00   -0.89966E+01    0.58235E+07    0.90090E+04
    77    0.21263E+04    0.44572E+00   -0.95403E+01    0.57912E+07    0.88684E+04
    78    0.21536E+04    0.46098E+00   -0.10097E+02    0.57588E+07    0.87299E+04
    79    0.21812E+04    0.47640E+00   -0.10662E+02    0.57263E+07    0.85927E+04
    80    0.22090E+04    0.49196E+00   -0.11238E+02    0.56939E+07    0.84562E+04
    81    0.22370E+04    0.50764E+00   -0.11824E+02    0.56614E+07    0.83198E+04
    82    0.22653E+04    0.52343E+00   -0.12420E+02    0.56289E+07    0.81840E+04
    83    0.22937E+04    0.53933E+00   -0.13026E+02    0.55964E+07    0.80495E+04
    84    0.23225E+04    0.55532E+00   -0.13639E+02    0.55639E+07    0.79171E+04
    85    0.23514E+04    0.57137E+00   -0.14260E+02    0.55315E+07    0.77873E+04
    86    0.23805E+04    0.58750E+00   -0.14889E+02    0.54991E+07    0.76609E+04
    87    0.24100E+04    0.60368E+00   -0.15524E+02    0.54669E+07    0.75377E+04
    88    0.24396E+04    0.61993E+00   -0.16166E+02    0.54347E+07    0.74177E+04
    89    0.24695E+04    0.63621E+00   -0.16816E+02    0.54025E+07    0.73006E+04
    90    0.24996E+04    0.65250E+00   -0.17472E+02    0.53705E+07    0.71864E+04
    91    0.25299E+04    0.66879E+00   -0.18133E+02    0.53386E+07    0.70749E+04
    92    0.25605E+04    0.68506E+00   -0.18800E+02    0.53068E+07    0.69660E+04
    93    0.25914E+04    0.70130E+00   -0.19472E+02    0.52751E+07    0.68596E+04
    94    0.26224E+04    0.71748E+00   -0.20147E+02    0.52435E+07    0.67557E+04
    95    0.26537E+04    0.73359E+00   -0.20827E+02    0.52120E+07    0.66542E+04
    96    0.26850E+04    0.74962E+00   -0.21511E+02    0.51807E+07    0.65549E+04
    97    0.27167E+04    0.76555E+00   -0.22198E+02    0.51495E+07    0.64578E+04
    98    0.27487E+04    0.78138E+00   -0.22885E+02    0.51184E+07    0.63628E+04
